ruta,provincia,tipo,licencia,costo_dop,horario,dias,vehiculos,origen,destino,federacion,actualizado
A-11,SANTO DOMINGO,AUTOBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,24,N/A,N/A,SINDICATO NACIONAL DE CHOFERES Y COBRADORES UNIFICADOS DE LOS FARALLONES (SINACHOCOUNFA),18/7/2025
A-20A,SANTO DOMINGO,AUTOBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,14,N/A,N/A,ASOCIACIÓN DE PROPIETARIOS Y COBRADORES DE INVIVIENDA SANTO DOMINGO (ASOPROCHOCOIN),18/7/2025
A-20B,SANTO DOMINGO,AUTOBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,26,N/A,N/A,ASOCIACIÓN DE PROPIETARIOS Y COBRADORES DE INVIVIENDA SANTO DOMINGO (ASOPROCHOCOIN),18/7/2025
A-31 (Inactiva),SANTO DOMINGO,AUTOBUS,Urbano,35,5:30 a.m. a 10:30 p.m.,7,38,N/A,N/A,CARIBE TOURS (CARIBE TOURS),18/7/2025
A-69,SANTO DOMINGO,AUTOBUS,Urbano,45,5:30 a.m. a 10:30 p.m.,7,19,N/A,N/A,COOPERATIVA DE SERVICIOS NUEVA IMAGEN (RUTA 69),18/7/2025
ASOPROGCHOCO,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,06:00AM / 06:00PM,7,0,DISTRITO NACIONAL,ELIAS PIÑA,FENATRANO,18/7/2025
ASOTOURSD,DISTRITO NACIONAL,AUTOBUS,Interurbano,700,N/A,7,1,DISTRITO NACIONAL,JIMANI (FRONTERA CON HAITI),NO AFILIADO-S,18/7/2025
CAMINADO TOURS SRL,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,08:00AM / 10:00AM,7,1,SANTO DOMINGO,HAITI (FRONTERA CON ELIAS PIÑA),NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,450,06:15AM / 10:00AM / 01:45PM,7,6,SANTO DOMINGO,BARAHONA,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,350,10:30AM / 08:00PM,7,6,SANTO DOMINGO (TERMINAL LAS AMÉRICAS)-LA VEGA,SANTIAGO,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,08:00AM/10:00AM/12:00PM/03:00PM,7,4,SANTO DOMINGO,RIO SAN JUAN (AUTOVÍA DEL NORDESTE),NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,1725,08:00 / 10:00PM,7,4,SANTO DOMINGO,HAITI) (FRONTERA CON JIMANÍ),NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,550,06:30AM / 06:20PM,7,14,SANTO DOMINGO,"PUERTO PLATA-SOSUA, POR LA CIRCUNVALACION NORTE",NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,06:30AM / 05:50PM,7,14,SANTO DOMINGO,SANTIAGO DE LOS CABALLEROS - PUERTO PLATA-SOSUA,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,07:15AM / 12:30PM,7,2,SANTO DOMINGO,MANZANILLO (POR CASTAÑUELA),NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,07:15AM / 12:30PM,7,2,SANTO DOMINGO,MANZANILLO (GUAYUBÍN),NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,450,06:30AM/10:15AM/02:00PM/06:15PM,7,6,SANTO DOMINGO,SAN JUAN DE LA MAGUANA,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,06:00AM/04:30PM,7,8,SANTO DOMINGO,DAJABÓN,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,06:45AM/07:45AM/01:30PM,7,3,SANTO DOMINGO,LOMA DE CABRERA,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,06:45AM/07:45AM/01:30PM/03:00PM,7,2,SANTO DOMINGO,SANTIAGO RODRIGUEZ,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,1725,09:00AM / 06:30PM,7,3,SANTO DOMINGO,HAITI (FRONTERA CON DAJABON),NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,1725,08:00AM / 10:00AM,7,4,SANTO DOMINGO,HAITI (FRONTERA CON ELIAS PIÑA),NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,350,07:00AM/10:30PM/02:00PM/05:45PM,7,2,SANTO DOMINGO,TENARES,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,350,11:00AM/02:00PM/05:00PM/06:00PM/07:00PM,7,3,SANTO DOMINGO,SAN FRANCISCO DE MACORIS,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,450,07:00AM/09:30AM/01:00PM/04:00PM,7,4,SANTO DOMINGO,SAMANA (AUTOPISTA DUARTE),NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,450,07:00AM/09:30AM/01:00PM/04:00PM,7,4,SANTO DOMINGO,SAMANA (AUTOVIA),NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,08:00AM/10:00AM/12:00PM/03:00PM,7,4,SANTO DOMINGO,RIO SAN JUAN(AUTOPISTA DUARTE),NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,350,10:30AM / 03:00PM,7,3,SANTO DOMINGO,SANTIAGO DE LOS CABALLEROS,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,350,07:00AM / 04:45PM,7,1,SANTO DOMINGO,CASTILLO,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,450,06:30AM/10:00AM/01:45PM/05:15PM,7,2,SANTO DOMINGO,CONSTANZA,NO AFILIADO-S,18/7/2025
CARIBE TOURS S. A,DISTRITO NACIONAL,AUTOBUS,Interurbano,450,06:00AM/07:30AM/09:00AM/10:30AM/12:30PM/02:00PM/03:30PM/05:00PM,7,4,SANTO DOMINGO,JARABACOA,NO AFILIADO-S,18/7/2025
HP TRANSPORTE HERMANO PAULINO SRL,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,05:00AM / 04:30PM,7,2,SANTO DOMINGO,HAITI (FRONTERA CON ELIAS PIÑA),NO AFILIADO-S,18/7/2025
METRO TOURS,DISTRITO NACIONAL,AUTOBUS,Interurbano,550,06:00AM / 06:30PM,7,4,DISTRITO NACIONAL,PUERTO PLATA,NO AFILIADO-S,18/7/2025
METRO TOURS,DISTRITO NACIONAL,AUTOBUS,Interurbano,575,06:30AM / 05:50PM,7,3,DISTRITO NACIONAL,SOSUA,NO AFILIADO-S,18/7/2025
METRO TOURS,DISTRITO NACIONAL,AUTOBUS,Interurbano,450,06:00AM / 09:15PM,7,6,DISTRITO NACIONAL,SANTIAGO DE LOS CABALLEROS,NO AFILIADO-S,18/7/2025
"METRO TOURS
TERRA BUS",DISTRITO NACIONAL,AUTOBUS,Interurbano,0,INACTIVA,7,4,DISTRITO NACIONAL,JIMANI (FRONTERA CON HAITI),NO AFILIADO-S,18/7/2025
N/A,SANTO DOMINGO,AUTOBUS,Urbano,35,5:30 a.m. a 11:30 p.m.,7,30,N/A,N/A,CORREDOR NUÑEZ DE CACERES (CNC),18/7/2025
N/A,SANTO DOMINGO,AUTOBUS,Urbano,35,5:30 a.m. a 11:30 p.m.,7,47,N/A,N/A,CORREDOR WINSTON CHURCHILL (CWC),18/7/2025
N/A,SANTO DOMINGO,AUTOBUS,Urbano,35,5:30 a.m. a 11:30 p.m.,7,94,N/A,N/A,CORREDOR CHARLES DE GAULLE (CCH),18/7/2025
TITI TOURS SRL,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,08:00AM / 10:00AM,7,2,SANTO DOMINGO,HAITI (FRONTERA CON ELIAS PIÑA),NO AFILIADO-S,18/7/2025
TRANSPORTE CIBAO,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,06:30AM / 05:50PM,7,10,DISTRITO NACIONAL,PUERTO PLATA-SOSUA,NO AFILIADO-S,18/7/2025
TRANSPORTE CIBAO,DISTRITO NACIONAL,AUTOBUS,Interurbano,500,04:30AM / 01:30PM,7,2,DISTRITO NACIONAL,LUPERON,NO AFILIADO-S,18/7/2025
TRANSPORTE CIBAO,DISTRITO NACIONAL,AUTOBUS,Interurbano,600,N/A,7,2,DISTRITO NACIONAL,DAJABON,NO AFILIADO-S,18/7/2025
TRANSPORTE CIBAO,DISTRITO NACIONAL,AUTOBUS,Interurbano,600,N/A,7,4,DISTRITO NACIONAL,LOMA DE CABRERA (POR SANTIAGO RODRIGUEZ),NO AFILIADO-S,18/7/2025
TRANSPORTE CIBAO,DISTRITO NACIONAL,AUTOBUS,Interurbano,600,N/A,7,4,DISTRITO NACIONAL,LOMA DE CABRERA (POR MONTECRISTI),NO AFILIADO-S,18/7/2025
TRANSPORTE CIBAO,DISTRITO NACIONAL,AUTOBUS,Interurbano,650,N/A,7,4,DISTRITO NACIONAL,RESTAURACION,NO AFILIADO-S,18/7/2025
"TRASPORTE RAMOS MERCADO, S.R.L",DISTRITO NACIONAL,AUTOBUS,Interurbano,500,04:50AM / 07:00PM,7,2,SANTO DOMINGO,CABARETE,NO AFILIADO-S,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,AUTOBUS,Interurbano,300,06:00AM / 06:00PM,7,0,DISTRITO NACIONAL,MOCA,CONATRA,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,AUTOBUS,Interurbano,400,06:00AM / 06:00PM,7,1,DISTRITO NACIONAL,NAGUA,CONATRA,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,AUTOBUS,Interurbano,400,N/A,7,1,DISTRITO NACIONAL,NAGUA (AUTOVIA),CONATRA,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,AUTOBUS,Interurbano,300,05:00AM / 08:00PM,7,6,DISTRITO NACIONAL,COTUI,CONATRA,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,AUTOBUS,Interurbano,300,06:30AM / 07:00PM,7,0,DISTRITO NACIONAL,SAN FRANCISCO DE MACORIS,CONATRA,18/7/2025
UNAPRODUMI,DISTRITO NACIONAL,AUTOBUS,Interurbano,300,N/A,7,0,DISTRITO NACIONAL,SALCEDO,CONATRA,18/7/2025
C-1,SANTO DOMINGO,CARRO,Urbano,40,5:30 a.m. a 10:30 p.m.,7,410,N/A,N/A,ASOCIACIÓN DE CHOFERES DE LA AVENIDA INDEPENDENCIA (ASOCHOCAINDE),18/7/2025
C-10,SANTO DOMINGO,CARRO,Urbano,35,5:30 a.m. a 10:30 p.m.,7,69,N/A,N/A,ASOCIACIÓN DE CHOFERES Y DUEÑOS DE CARROS DE SAN LUIS (ASOCHODUCASAL),18/7/2025
C-101 E,SANTO DOMINGO,CARRO,Urbano,40,5:30 a.m. a 10:30 p.m.,7,150,N/A,N/A,ASOCIACIÓN DE TRANSPORTISTAS DE PASAJEROS (ASOTRAPA),18/7/2025
C-103,SANTO DOMINGO,CARRO,Urbano,35,5:30 a.m. a 10:30 p.m.,7,253,N/A,N/A,SINDICATO DE CHOFERES DE LAS AMÉRICAS (SICHOAMERICA),18/7/2025
C-104,SANTO DOMINGO,CARRO,Urbano,35,5:30 a.m. a 10:30 p.m.,7,210,N/A,N/A,SINDICATO NACIONAL DE CHOFERES DE CARGA LIVIANA (SINACHOCAL),18/7/2025
C-105,SANTO DOMINGO,CARRO,Urbano,35,5:30 a.m. a 10:30 p.m.,7,31,N/A,N/A,ASOCIACIÓN DE DUEÑOS DE CARROS DE ZONA FRANCA (RUTA 105),18/7/2025
C-106,SANTO DOMINGO,CARRO,Urbano,35,5:30 a.m. a 10:30 p.m.,7,61,N/A,N/A,SINDICATO DE CHOFERES DE VILLA MELLA -PARAISO (SICHOVMELLA),18/7/2025
C-107,SANTO DOMINGO,CARRO,Urbano,35,5:30 a.m. a 10:30 p.m.,7,329,N/A,N/A,"COMPAÑIA DE TRANSPORTE URBANO SAN FELIPE, S.R.L.  (CONTRAUSAFE)",18/7/2025
C-108,SANTO DOMINGO,CARRO,Urbano,35,5:30 a.m. a 10:30 p.m.,7,50,N/A,N/A,ASOCIACIÓN DE CHOFERES PARQUE INDEPENDENCIA-DUARTE-PARÍS (ASOCHOPIDUPA),18/7/2025
C-109,SANTO DOMINGO,CARRO,Urbano,50,5:30 a.m. a 10:30 p.m.,7,79,N/A,N/A,ASOCIACIÓN DE DUEÑOS DE CARROS DE SERVICIOS VALIENTE Y ZONAS ALEDAÑAS. (ADECASVAZA),18/7/2025
C-11,SANTO DOMINGO,CARRO,Urbano,35,5:30 a.m. a 10:30 p.m.,7,164,N/A,N/A,ASOCIACIÓN DE CHOFERES DE LA MÁXIMO GÓMEZ (ASOCHOMAXI),18/7/2025
C-110,SANTO DOMINGO,CARRO,Urbano,35,5:30 a.m. a 10:30 p.m.,7,56,N/A,N/A,ASOCIACIÓN DE CHOFERES DEL PARQUE INDEPENDENCIA (ASOCHOPAIN),18/7/2025
